name,meta
Citizen Kane,100
The Godfather,100
Rear Window,100
Casablanca,100
Boyhood,100
Three Colors: Red,100
Vertigo,100
Notorious,100
Singin' in the Rain,99
City Lights,99
Moonlight,99
Intolerance,99
Pinocchio,99
Touch of Evil,99
The Treasure of the Sierra Madre,98
Pan's Labyrinth,98
Some Like It Hot,98
North by Northwest,98
Nomadland,98
Rashomon,98
All About Eve,98
Hoop Dreams,98
Jules and Jim,97
The Wild Bunch,97
My Left Foot,97
The Third Man,97
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,97
Gone with the Wind,97
4 Months,97
 3 Weeks and 2 Days,97
Psycho,97
A Streetcar Named Desire,97
American Graffiti,96
Dumbo,96
Roma,96
Ran,96
The Shop Around the Corner,96
12 Angry Men,96
Manchester by the Sea,96
Rosemary's Baby,96
The Maltese Falcon,96
12 Years a Slave,96
Killer of Sheep,96
Nashville,96
Ratatouille,96
Parasite,96
Don't Look Now,96
The Grapes of Wrath,96
Children of Paradise (1945),96
Mean Streets,96
The Lady Eve,96
Gravity,96
Fantasia,96
Spirited Away,95
Beauty and the Beast,95
Toy Story,95
The Bride of Frankenstein,95
The Social Network,95
My Fair Lady,95
Portrait of a Lady on Fire,95
I Am Not Your Negro,95
Woodstock,95
Double Indemnity,95
Snow White and the Seven Dwarfs,95
The Hurt Locker,95
Anatomy of a Murder,95
Zero Dark Thirty,95
A Separation,95
WALL-E,94
Carol,94
Before Midnight,94
Amour,94
Dunkirk,94
The Man Who Shot Liberty Valance,94
The Searchers,94
45 Years,94
Taxi Driver,94
Pulp Fiction,94
The Manchurian Candidate,94
Mr. Turner,94
The Irishman,94
Grave of the Fireflies (1988),94
The Wild Child,94
Amazing Grace,94
Shadow of a Doubt,94
Inside Out,94
Sideways,94
Schindler's List,94
The Apartment,94
Apocalypse Now,94
The Gunfighter,94
We Were Here,94
Lady Bird,94
The Lord of the Rings: The Return of the King,94
Wolfwalkers,94
Carlos,94
Marriage Story,94
La La Land,94
Faces Places,94
Crouching Tiger,93
Dracula: Pages from a Virgin's Diary,84
Together,84
Boxing Gym,83
Guy and Madeline on a Park Bench,83
Crazy Heart,83
The Fool,83
Everybody Wants Some!!,83
De Palma,83
A Little Princess,83
The Last Black Man in San Francisco,83
Night of the Kings,83
Apples,83
Custody,83
Adaptation.,83
Fighter,83
The Snapper,83
Avatar,83
The Forbidden Room,83
My Dinner with Andre,83
Network,83
An American in Paris,83
The Secret of the Grain,83
Trainspotting,83
Welcome to the Dollhouse,83
The Graduate,83
The Ground Beneath My Feet,83
Horse Feathers,83
Fantastic Mr. Fox,83
In the Loop,83
Bus 174,83
Osama,83
Amores Perros,83
The Gleaners & I,83
The Salt of the Earth,83
Glory,83
Rat Film,83
One Flew Over the Cuckoo's Nest,83
Office,83
Being There,83
Chop Shop,83
Kiki's Delivery Service,83
Once Upon a Time ... in Hollywood,83
Raising Victor Vargas,83
Who Framed Roger Rabbit,83
42nd Street,83
The Cave,83
'71,83
The Guilty,83
Blackfish,83
The Witch,83
Juliet of the Spirits (re-release),83
I Wish I Knew,83
Corpse Bride,83
Project Nim,83
The Wind Rises,83
Neil Young Trunk Show,83
The Lighthouse,83
Spider-Man 2,83
True Grit,83
Saint Frances,83
20 Feet from Stardom,83
When We Were Kings,83
Kurt Cobain: Montage of Heck,83
20th Century Women,83
My Name Is Albert Ayler,83
Paranoid Park,83
Pina,83
Animal Kingdom,83
La Camioneta: The Journey of One American School Bus,83
Rosie,83
A Room with a View,83
Hugo ,83
The LEGO Movie,83
Gloria,83
Ixcanul,83
The Selfish Giant,83
The Day He Arrives,83
Hadewijch,83
Taxidermia,83
Drag Me to Hell,83
The King of Kong: A Fistful of Quarters,83
Spider,83
Moonstruck,83
Manhattan,83
Palm Springs,83
Seymour: An Introduction,83
56 Up,83
Triad Election,83
Up in the Air,83
Roll Red Roll,83
Who We Are Now,83
Burning Bush,83
Enter the Dragon,83
Last and First Men,83
Cutie and the Boxer,83
U2 3D,83
The Naked Kiss,83
Vera Drake,83
Kill Bill: Vol. 2,83
The Apostle,83
Horse Money,84
Up the Yangtze,84
Star Wars: Episode VIII - The Last Jedi,84
High Hopes,84
McQueen,84
The Black Stallion,84
Booksmart,84
Wise Blood,84
From Russia with Love,84
The Handmaiden,84
Lantana,84
Séraphine,84
Oliver Twist,84
49 Up,84
Boys State,84
Naked,84
A Serious Man,84
The Joy Luck Club,84
Broadcast News,84
Withnail & I,84
The Postman Always Rings Twice,84
Synonyms,84
American Beauty,84
Beanpole,84
Harmonium,84
Blade Runner,84
Kagemusha,84
Milk,84
Fireworks Wednesday (2006),84
Heart of a Dog,84
Distant,84
Far From Heaven,84
Lagaan: Once Upon a Time in India,84
No Man's Land,84
The Remains of the Day,84
Prizzi's Honor,84
All the President's Men,84
Bob Dylan: Dont Look Back,84
Aferim!,84
War Witch,84
2001: A Space Odyssey,84
Toy Story 4,84
Darwin's Nightmare,84
Aliens,84
My Winnipeg,84
On the Record,84
In My Room,84
Mystic River,84
Pride and Prejudice,84
Oslo,84
 August 31st,84
Looper,84
Graduation,84
Kubo and the Two Strings,84
The Other Side of Hope,84
The Vast of Night,84
Momma's Man,84
Old Joy,84
Kings & Queen,84
You Were Never Really Here,84
In the Name of the Father,84
Ballast,84
Volver,84
The Square,84
Widows,84
Love After Love,84
The Dark Knight,84
A Ghost Story,84
Bait,84
Homicide,84
Museum Hours,84
On Her Shoulders,84
The Bad News Bears,84
The Insider,84
The Descendants,84
First Man,84
The Terminator,84
Cat on a Hot Tin Roof,84
Snowpiercer,84
Happy-Go-Lucky,84
Lassie,84
Shrek,84
Under the Shadow,84
California Split,84
Dave Chappelle's Block Party,84
Victor Victoria,84
Our Time Machine,84
The Quiet American,84
The Pinochet Case,84
The Day I Became a Woman,84
Sense and Sensibility,84
Weiner,84
Stalag 17,84
Iraq in Fragments,84
About Endlessness,84
The Cove,84
Rocco and His Brothers (re-release),84
Mutual Appreciation,84
The Waiting Room,84
Stray Dogs,84
The Crying Game,90
Great Expectations,90
Burning,90
Winter's Bone,90
Gett: The Trial of Viviane Amsalem,90
I Called Him Morgan,90
Close Encounters of the Third Kind,90
The Godfather: Part II,90
The Hustler,90
L.A. Confidential,90
Bloody Sunday,90
My Voyage to Italy,90
Phantom Thread,90
Her,90
Hamilton,90
Paths of the Soul,90
It's Such a Beautiful Day,90
My Perestroika,90
This Is Not a Film,90
The Birds,90
Finding Nemo,90
Topsy-Turvy,90
Samurai Rebellion,90
King Kong,90
The Incredibles,90
Before Sunset,90
Being John Malkovich,90
A Prophet,90
Hard to Be a God,90
Almost Famous,90
Paths of Glory,90
Cold War,90
Big Men,90
American Splendor,90
Hannah and Her Sisters,90
The Circus,90
The Tale,90
Goodfellas,90
Gosford Park,90
Dirty Harry,90
The Fits,90
Mad Max: Fury Road,90
United 93,90
Capturing the Friedmans,90
The Truman Show,90
American Hustle,90
Paterson,90
Star Wars: Episode IV - A New Hope,90
Persepolis,90
The Age of Innocence,90
Minding the Gap,90
The Best of Youth,89
The Overnighters,89
The Lives of Others,89
Two-Lane Blacktop,89
House of Flying Daggers,89
63 Up,89
Treasure Island,89
Lost in Translation,89
Blue Is the Warmest Color,89
Searching for Bobby Fischer,89
Assault on Precinct 13,89
Man on Wire,89
For Sama,89
Howards End,89
Force of Evil,89
Still Walking,89
Gangs of Wasseypur,89
The Last Detail,89
When the Levees Broke: A Requiem in Four Acts,89
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,89
Barry Lyndon,89
The Farewell,89
Elle,89
The Tale of The Princess Kaguya,89
Uncertain,89
Two Days,89
 One Night,89
National Gallery,89
Eighth Grade,89
A Star Is Born,89
No End in Sight,89
It's a Wonderful Life,89
The Madness of King George,89
Phoenix,89
City Hall,89
Goodbye Solo,89
Western,89
Stop Making Sense,89
Deep Red,89
Downhill Racer,89
Alien,89
Columbus,89
First Cow,89
The World to Come,89
Night of the Living Dead,89
The Artist,89
Yankee Doodle Dandy,89
Raging Bull,89
Eternal Sunshine of the Spotless Mind,89
Call Me by Your Name,93
The Magnificent Ambersons,93
Reversal of Fortune,93
Shoplifters,93
Shoah: Four Sisters,93
The 39 Steps,93
Duck Soup,93
Days of Heaven,93
Toni Erdmann,93
Yi Yi,93
McCabe & Mrs. Miller,93
The Best Years of Our Lives,93
Stagecoach,93
Inside Llewyn Davis,93
Sherpa,93
There Will Be Blood,93
Badlands,93
The Last Picture Show,93
Do the Right Thing,93
Sita Sings the Blues,93
Lovers Rock,93
The Decline of Western Civilization,93
Rio Bravo,93
Brother's Keeper,93
Crumb,93
Spotlight,93
The Band Wagon,93
One More Time with Feeling,92
The Diving Bell and the Butterfly,92
Invasion of the Body Snatchers,92
The Class,92
Platoon,92
35 Shots of Rum,92
Apocalypse Now: Final Cut,92
Chinatown,92
The Florida Project,92
Timbuktu,92
Frenzy,92
Brief Encounter,92
Cool Hand Luke,92
Little Women,92
Maborosi,92
David Byrne’s American Utopia,92
Top Hat,92
Apocalypse Now Redux,92
Annie Hall,92
The Lord of the Rings: The Fellowship of the Ring,92
Quiz Show,92
Leviathan,92
Werckmeister Harmonies,92
Toy Story 3,92
This Is Spinal Tap,92
The Look of Silence,92
Tower,92
The Rider,92
Moolaadé,91
Atanarjuat: The Fast Runner,91
Gavagai,91
The Man Who Would Be King,91
The Killing,91
Swing Time,91
Breaking Away,91
Never Rarely Sometimes Always,91
The Souvenir,91
After Life,91
Son of Saul,91
Love Affair,91
Frankenstein,91
Little Women,91
E.T. The Extra-Terrestrial,91
The African Queen,91
The Triplets of Belleville,91
The Queen,91
All Quiet on the Western Front,91
A Bread Factory Part Two: Walk With Me a While,91
The Ladykillers,91
Young Mr. Lincoln,91
Stories We Tell,91
A Bread Factory Part One: For the Sake of Gold,91
The Act of Killing,91
On the Waterfront,91
Jafar Panahi's Taxi,91
Ida,91
Beau Travail,91
Uncut Gems,91
Waltz with Bashir,91
They Shall Not Grow Old,91
EX LIBRIS: The New York Public Library,91
Secrets & Lies,91
Patton,91
The Favourite,91
The Sweet Hereafter,91
The Right Stuff,91
Bambi,91
Bringing Up Baby,91
No Country for Old Men,91
The Gatekeepers,91
Nostalgia for the Light,91
Saving Private Ryan,91
After Hours,90
Fire at Sea,87
The Fugitive,87
F for Fake,87
About Elly (2009),87
The Bridge on the River Kwai,87
Goldfinger,87
One False Move,87
En el Séptimo Día (On the Seventh Day),87
Jane,87
Jaws,87
We Are the Best!,87
Spartacus,87
Back to the Future,87
If Beale Street Could Talk,87
My Journey Through French Cinema,87
Wallace & Gromit: The Curse of the Were-Rabbit,87
The Diary of a Teenage Girl,87
Elena,87
All Is Lost,87
Hereditary,87
Listen to Me Marlon,87
Gideon's Army,87
Serpico (re-release),87
Maria Full of Grace,87
Fateless,87
Happy as Lazzaro,87
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,87
Uncle Boonmee Who Can Recall His Past Lives,87
Brokeback Mountain,87
Cemetery of Splendor,87
The Kid with a Bike,87
Mutiny on the Bounty,87
Spider-Man: Into the Spider-Verse,87
The Wicker Man,87
Love & Friendship,87
Particle Fever,87
Tarnation,87
Murderball,87
Life Itself,87
The Shape of Water,87
Rewind,87
Shine,87
Bisbee '17,87
Grizzly Man,87
Adam's Rib,87
Gregory Crewdson: Brief Encounters,87
Moneyball,87
The Autobiography of Nicolae Ceausescu,87
All About My Mother,87
The English Patient,87
The Duke of Burgundy,87
My Golden Days,87
Nebraska,87
Force Majeure,87
Tampopo,87
Blow Out,86
Diane,86
The Magician,86
Russian Ark,86
Point Blank,86
Lincoln,86
The Wolf House,86
An Elephant Sitting Still,86
Room,86
The Tillman Story,86
The Wind Will Carry Us,86
sex,86
 lies,86
 and videotape,86
Dog Day Afternoon,86
To Be or Not to Be,86
Welcome to Chechnya,86
Like Water for Chocolate,86
Ordinary People,86
Written on the Wind,86
Stand Clear of the Closing Doors,86
Dreamcatcher,86
To Die For,86
The Deer Hunter,86
Million Dollar Baby,86
42: Forty Two Up,86
The Straight Story,86
Krisha,86
Dawson City: Frozen Time,86
Shadows,86
Rebecca,86
Cameraperson,86
The Babadook,86
Last Days in Vietnam,86
Little Men,86
The Kids Are All Right,86
Boys Don't Cry,86
Dead Ringers,86
The Great Escape,86
Manakamana,86
Mission: Impossible – Fallout,86
Rushmore,86
Cave of Forgotten Dreams,86
My Neighbor Totoro,86
King of the Hill,86
Tangerine,86
My Happy Family,86
Chasing Coral,86
How to Survive a Plague,86
Loveless,86
Ten,86
I'm Going Home,86
In the Bedroom,86
A Fantastic Woman,86
Barbara,86
Of Gods and Men,86
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,86
One Cut of the Dead,86
Museo,86
Nobody's Fool,86
Stranger Than Paradise,86
Bonnie and Clyde,86
Divine Love,86
The Beaches of Agnès,86
Das Boot,86
West Side Story,86
Deliver Us from Evil,86
Maidan,86
Drug War,86
The Great Beauty,86
The Odd Couple,86
Black Mother,86
The Big Sick,86
Argo,86
Our Daily Bread,86
The Umbrellas of Cherbourg (re-released),86
Talk to Her,86
Under the Sand,86
Traffic,86
The Grifters,86
The Master,86
The Death of Mr. Lazarescu,86
The Wild Pear Tree,86
Nausicaä of the Valley of the Wind,86
Aladdin,86
Los Angeles Plays Itself,86
This Is England,86
Vitalina Varela,86
City of Ghosts,86
Springtime in a Small Town,86
Sweet Sixteen,86
The Son,86
The Player,86
Ponyo,86
Strong Island,86
The Interrupters,86
Ernest & Célestine,86
American Factory,86
Z,86
Only Angels Have Wings,86
The Father,86
Baby Driver,86
Beasts of the Southern Wild,86
Let the Fire Burn,86
Last Train Home,86
Crip Camp: A Disability Revolution,86
Andy Warhol: A Documentary Film,86
Persona,86
Desire,86
The Double Life of Veronique,86
Flight of the Red Balloon,86
Honeyland,86
Sabotage,85
Say Anything...,85
Walkabout,85
Before Night Falls,85
Five Easy Pieces,85
From Here to Eternity,85
The Bourne Ultimatum,85
Raiders of the Lost Ark,85
Harry Potter and the Deathly Hallows: Part 2,85
Athlete A,85
Tea with the Dames,85
Take Shelter,85
The Salesman,85
The Pianist,85
Children Underground,85
You Can Count on Me,85
Boogie Nights,85
City of Life and Death,85
Song of the Sea,85
Amy,85
The Edge of Heaven,85
The Savages,85
Birds of Passage,85
Ilo Ilo,85
First Reformed,85
Lebanon,85
The Treasure,85
Atlantics,85
I Am Another You,85
Night Will Fall,85
The Endurance,85
Exit Through the Gift Shop,85
Girlhood,85
In the Mood for Love,85
Let's Get Lost,85
Offside,85
The Ornithologist,85
El Dorado,85
Sleeping Beauty,85
Mona Lisa,85
Tales of the Grim Sleeper,85
Easy Rider,85
Knocked Up,85
Distant Voices,85
 Still Lives,85
Turtles Can Fly,85
The Departed,85
April and the Extraordinary World,85
Festival Express,85
Spring,85
 Summer,85
 Fall,85
 Winter... and Spring,85
An Education,85
Varda by Agnès,85
Tinker Tailor Soldier Spy,85
Harakiri,85
Ash Is Purest White,85
Half Nelson,85
Vincere,85
The Fabulous Baker Boys,85
Fargo,85
Street Fight,85
Before the Devil Knows You're Dead,85
Unforgiven,85
Victim,85
Get Out,85
Love and Diane,85
About Schmidt,85
Domestic Violence,85
Hero,85
Hale County This Morning,85
 This Evening,85
Neil Young: Heart of Gold,85
Mudbound,85
My Life as a Zucchini,85
The Silence of the Lambs,85
Hedwig and the Angry Inch,85
The Last Seduction,85
The Conversation,85
God's Own Country,85
Kaili Blues,85
The Intruder,85
Mulholland Dr.,85
The Wages of Fear (1953),85
Forbidden Lie$,85
Behemoth,85
The Sun,85
The Past,85
One Child Nation,85
Cinderella,85
24 Hour Party People,85
Nomad: In the Footsteps of Bruce Chatwin,85
Atonement,85
The Tree of Life,85
Alexandra,85
The Host,85
The Departure,85
Starless Dreams,85
Restrepo,85
Summer Hours,85
Grisbi (re-release),85
Out of Sight,85
Women on the Verge of a Nervous Breakdown,85
Support the Girls,85
The Iron Giant,85
Won't You Be My Neighbor?,85
Passing Strange,85
Meek's Cutoff,85
Three Colors: Blue,85
The Long Day Closes,85
Fruitvale Station,85
Carrie,85
Watchers of the Sky,85
Since Otar Left,84
The Circle,84
Sound and Fury,84
Paragraph 175,84
Atlantic City,84
Slumdog Millionaire,84
Holy Motors,84
The Work,84
Sling Blade,84
A Christmas Tale,84
Giant,84
Brazil,84
In the Shadow of the Moon,84
The Big Risk,84
Get on the Bus,84
Children of Men,84
Revanche,84
The Man Without a Past,84
American Movie,84
Babe,83
Hidden,83
Private Life,83
BlacKkKlansman,83
Lake of Fire,83
Red Army,83
The Miracle Worker,83
Porco Rosso,83
The Post,83
Cunningham,83
The Flat,83
Blind,83
The Magdalene Sisters,83
Superman II,83
Tyson,83
101 Dalmatians,83
Henry V,83
The Sting,83
13th,83
Shanghai Express,83
Footnote,83
Being 17,83
The White Diamond,83
Free Solo,83
Trouble the Water,83
Mustang,83
James White,83
It Follows,83
Driveways,83
Don't Think Twice,83
The Happiest Day in the Life of Olli Mäki,83
Sweeney Todd: The Demon Barber of Fleet Street,83
Charade,83
Court,83
Waking Life,83
20,83
000 Days on Earth,83
The Woman Who Left,83
Election,82
Creed,82
Local Hero,82
Monsieur Lazhar,82
Glengarry Glen Ross,82
Gigi,82
Ava,82
Venus,82
Black Bear,82
Toni Morrison: The Pieces I Am,82
Diner,82
Nowhere to Hide,82
The Second Mother,82
These Birds Walk,82
Rivers and Tides: Andy Goldsworthy Working with Time,82
Ajami,82
Wrestle,82
Viola,82
127 Hours,82
Relaxer,82
Tell No One,82
The Illusionist,82
The Deep Blue Sea,82
The End of the Tour,82
Enron: The Smartest Guys in the Room,82
Transit,82
Forrest Gump,82
Thieves Like Us,82
Ornette: Made in America (1985),82
Good Bye,82
 Dragon Inn,82
Safe Conduct,82
Leaving Las Vegas,82
Maiden,82
War for the Planet of the Apes,82
Duma,82
We the Animals,82
The Constant Gardener,82
Short Term 12,82
Parenthood,82
House of Hummingbird,82
Star Wars: Episode V - The Empire Strikes Back,82
Our Beloved Month of August,82
Sugar,82
Marwencol,82
The Wind That Shakes the Barley,82
Bloody Nose,82
 Empty Pockets,82
Repo Man,82
Lilya 4-Ever,82
Face/Off,82
The Lobster,82
The Nightmare Before Christmas,82
Pride & Prejudice,82
The Squid and the Whale,82
Winged Migration,82
Quince Tree of the Sun,82
School of Rock,82
Life and Nothing More,82
The Climb,82
Star Trek,82
Da 5 Bloods,82
Frances Ha,82
The Namesake,82
A Hijacking,82
In the Family,82
Hunger,82
Cold Comfort Farm,82
Black Sabbath,82
Dear Zachary: A Letter to a Son About His Father,82
Anvil! The Story of Anvil,82
The Trip,82
Harry Potter and the Prisoner of Azkaban,82
La Promesse (The Promise),82
Levitated Mass,82
Michael Clayton,82
Downfall,82
Knives Out,82
The Spectacular Now,82
My Man Godfrey,82
Angels Are Made of Light,82
Let the Right One In,82
Rams,82
Paris Is Burning,82
Certified Copy,82
Night Moves,82
The Waldheim Waltz,82
The Celebration,82
Broadway Danny Rose,82
Taxi to the Dark Side,82
Nuts!,82
Give Me Liberty,82
The Love Witch,82
Marjorie Prime,82
Sorry We Missed You,82
Down and Out in Beverly Hills,82
Steve Jobs,82
Marley,82
The White Ribbon,82
The Agronomist,82
Touching the Void,82
Three Kings,82
Rachel Getting Married,82
Le Havre,82
Araby,82
To Be Heard,82
Grey Gardens,82
The Sundowners,82
Embrace of the Serpent,82
Under African Skies,82
Sieranevada,82
Side by Side,82
Days of Glory,82
My Summer of Love,82
Isle of Dogs,82
Mountain,82
Certain Women,82
Approaching the Elephant,82
Flamenco,82
 Flamenco,82
Archipelago,82
Mysteries of Lisbon,82
Mademoiselle Chambon,82
Burma VJ: Reporter i et lukket land,82
The Return,82
Read My Lips,82
Hands on a Hardbody: The Documentary,82
Get Shorty,82
My Life as a Dog,82
Frozen River,82
The Killer,82
Drugstore Cowboy,82
Heal the Living,82
Love Is Strange,82
The Girl Without Hands,82
Blow-Up,82
Tess,82
Bacurau,82
The Twilight Samurai,82
Concert for George,82
Late Marriage,82
One Day in September,82
Requiem,82
Captain Phillips,82
Memories of Murder,82
Neruda,82
Blancanieves,82
